Month;Price;Change
Apr-95;19.87;-
May-95;19.64;-1.16%
Jun-95;18.50;-5.80%
Jul-95;17.42;-5.84%
Aug-95;17.96;3.10%
Sep-95;18.03;0.39%
Oct-95;17.33;-3.88%
Nov-95;17.79;2.65%
Dec-95;18.83;5.85%
Jan-96;18.89;0.32%
Feb-96;19.07;0.95%
Mar-96;21.16;10.96%
Apr-96;23.20;9.64%
May-96;21.08;-9.14%
Jun-96;20.27;-3.84%
Jul-96;21.36;5.38%
Aug-96;21.97;2.86%
Sep-96;23.92;8.88%
Oct-96;24.94;4.26%
Nov-96;23.66;-5.13%
Dec-96;25.32;7.02%
Jan-97;24.93;-1.54%
Feb-97;21.83;-12.43%
Mar-97;20.69;-5.22%
Apr-97;19.40;-6.23%
May-97;20.50;5.67%
Jun-97;18.87;-7.95%
Jul-97;19.30;2.28%
Aug-97;19.62;1.66%
Sep-97;19.59;-0.15%
Oct-97;21.21;8.27%
Nov-97;19.88;-6.27%
Dec-97;18.09;-9.00%
Jan-98;16.51;-8.73%
Feb-98;15.81;-4.24%
Mar-98;14.76;-6.64%
Apr-98;15.32;3.79%
May-98;14.90;-2.74%
Jun-98;13.71;-7.99%
Jul-98;14.11;2.92%
Aug-98;13.40;-5.03%
Sep-98;14.98;11.79%
Oct-98;14.42;-3.74%
Nov-98;12.96;-10.12%
Dec-98;11.31;-12.73%
Jan-99;12.49;10.43%
Feb-99;12.01;-3.84%
Mar-99;14.66;22.06%
Apr-99;17.34;18.28%
May-99;17.75;2.36%
Jun-99;17.89;0.79%
Jul-99;20.07;12.19%
Aug-99;NA;5.88%
Sep-99;23.86;12.28%
Oct-99;22.64;-5.11%
Nov-99;24.85;9.76%
Dec-99;26.08;4.95%
Jan-00;27.27;4.56%
Feb-00;29.28;7.37%
Mar-00;29.92;2.19%
Apr-00;25.84;-13.64%
May-00;28.83;11.57%
Jun-00;31.86;10.51%
Jul-00;29.97;-5.93%
Aug-00;31.31;4.47%
Sep-00;33.89;8.24%
Oct-00;33.05;-2.48%
Nov-00;34.37;3.99%
Dec-00;28.40;-17.37%
